LotArea,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,BedroomAbvGr,GarageCars,GarageArea,SalePrice
9620,2014,1959,1320,3,2,0,564,243587
8116,1998,402,1902,3,5,1,618,284784
15757,1952,455,2890,3,1,2,356,96705
15986,1994,797,1446,1,4,0,815,139326
18146,1963,861,3446,3,1,0,646,469972
15575,1979,434,2077,2,4,1,442,372534
10708,2017,1568,1877,3,5,1,68,118369
17871,1967,733,1939,1,5,0,522,251893
13335,2011,1059,3680,2,1,2,142,321733
14668,1986,1689,1261,3,4,1,191,163012
3549,1974,969,840,3,5,1,386,457332
6923,1997,740,3489,3,2,3,377,385325
16089,2014,412,882,2,2,2,580,225858
8658,2002,662,1503,2,4,2,534,275758
11748,2022,635,2056,1,1,0,692,173711
8900,1964,482,799,2,5,2,292,126425
11374,1998,1785,638,2,1,0,8,473502
16651,2017,1830,858,3,2,3,270,65994
2654,1961,1686,1335,2,5,2,386,161915
5999,2008,1630,2022,3,1,1,92,435105
7795,1986,287,3956,3,3,3,965,154672
13683,2010,1267,2127,2,4,0,528,338783
14374,1992,660,2482,1,4,3,153,329349
19532,2019,477,1803,1,3,0,404,368821
7039,1988,1906,3030,2,2,3,839,82930
11137,2005,620,1408,1,5,0,148,123313
17086,2012,1924,1634,3,4,2,888,274923
4057,1995,1576,3413,3,3,1,266,163153
7092,1960,895,2686,2,3,0,421,330460
17982,2011,714,1495,1,2,3,839,470520
3700,1974,902,2982,1,2,0,617,282911
15672,2020,1853,3056,3,1,0,471,146058
4461,2001,218,2820,2,4,0,892,137876
15707,1953,222,3670,1,1,3,546,135366
13469,2008,612,2651,2,3,1,630,63403
4369,2021,1253,1737,1,5,2,525,392196
18840,1969,307,2284,3,5,1,502,298550
15492,2012,1590,3309,3,2,0,13,311420
7199,2003,1504,3334,2,5,3,777,385639
5487,2006,1351,664,3,5,1,651,213004
14946,1990,1452,1498,1,5,0,805,408234
2718,1952,1334,3067,3,3,2,363,348845
6235,1955,335,1807,2,5,2,118,446601
12796,1954,561,3064,2,5,2,237,302396
6055,1954,1409,1156,2,5,0,545,107241
10646,2003,1879,3160,1,1,3,168,191439
9550,1996,1807,2711,1,3,1,521,115030
14257,1998,328,2409,1,2,2,633,227577
18929,1958,1484,2546,1,1,0,912,214404
8393,1969,714,2611,1,4,0,656,257397
19577,2010,648,3662,3,3,1,962,478484
15873,1984,1327,1640,1,3,2,957,468779
16065,1999,1706,2389,1,4,0,734,155185
4936,2011,1447,766,3,4,1,882,86404
10254,1966,1073,2345,1,4,3,768,105182
12177,1952,1714,2208,2,2,3,779,345135
7395,1981,672,3711,1,5,3,870,154601
18109,1962,1233,2793,1,3,2,515,228735
17136,2022,1628,2942,2,5,1,937,378030
8522,2017,501,2010,2,5,1,396,172002
10651,1963,430,975,2,4,0,865,395992
7100,1960,1954,1476,2,2,0,105,467343
9496,2005,1122,1707,1,1,0,84,369836
10507,2016,1289,1543,2,2,1,213,275461
14446,1978,1136,2460,2,5,0,120,349644
6142,1958,311,1057,3,2,1,131,345929
12812,2016,1236,1517,2,4,1,849,134146
9179,1974,1616,2105,2,1,3,196,97997
9708,1991,699,1382,3,4,0,18,57170
12216,1958,1131,2694,3,1,3,641,194375
18953,1989,797,1165,1,5,2,11,383887
4944,1974,433,3875,3,1,2,80,85187
12257,1954,801,3167,1,1,2,329,246106
15934,1960,513,2271,3,1,1,865,182965
2560,2008,765,3367,3,2,1,773,194825
4920,1987,1235,1363,1,2,1,391,88090
1801,2021,408,1081,3,5,0,636,371556
13968,1954,1237,3570,1,1,3,306,303478
18490,1997,1856,1194,3,3,1,266,368174
2199,1967,1641,1751,2,5,3,446,67509
1690,2019,1660,3673,3,1,3,440,118653
11992,1986,1600,2110,1,1,3,894,218001
18864,2009,1243,3988,3,2,0,651,441770
4475,1997,786,1739,1,5,0,840,491507
7602,1977,1978,2954,1,1,2,1,316186
19068,2018,1958,898,2,1,2,519,243646
3316,1989,1214,2446,2,5,3,761,349345
2069,1994,1293,1214,1,3,2,650,273354
6942,2011,1434,1203,3,5,3,635,64016
3395,2007,1324,3308,1,5,0,308,337166
5363,2016,897,3046,1,3,0,739,282034
14413,2005,331,2214,3,5,0,521,77938
8955,1989,1846,2472,3,1,1,468,224750
5514,1989,1604,3521,3,5,3,211,430315
12593,1982,1355,581,3,3,0,111,310710
19570,1955,1243,1103,1,4,3,7,282320
4509,1968,735,2470,1,5,2,803,373864
18038,1989,1213,2210,2,2,2,476,417658
12229,2008,426,2546,1,1,0,873,237877
2909,2008,1377,3319,3,1,3,459,183058
13749,1997,1965,1402,2,2,0,252,126478
2284,1990,1692,864,3,2,2,525,455377
9596,1962,1021,662,1,5,0,751,463905
9060,1994,1070,3619,2,2,3,437,177101
14033,2002,604,3058,3,4,2,753,406843
8843,1991,401,3900,2,3,1,980,241996
8706,2012,237,2363,2,2,2,853,411417
7301,1976,1141,615,1,2,1,660,255380
18421,1987,1995,3488,3,4,0,235,282200
7486,2009,387,2884,2,1,0,305,113745
19725,1956,1280,1380,2,1,3,477,182283
12147,1954,1140,3284,3,5,1,678,443445
10216,1994,1243,1339,2,4,0,19,431116
13823,2007,472,2694,2,3,1,215,491758
6280,1980,1342,1846,2,3,0,854,457561
3868,1972,782,2990,3,4,2,134,151489
13539,1991,715,3384,3,3,0,904,81819
8155,1959,1444,1536,3,1,3,128,97779
9673,1981,725,1442,3,3,2,409,263493
5995,2002,1738,2224,1,3,3,421,404388
12393,1979,1951,2834,2,4,2,293,115584
14903,1988,1964,3267,3,4,1,245,463166
14621,1980,535,1637,2,3,3,700,196245
12466,1951,897,3027,2,2,0,555,298815
2353,1961,1278,521,1,4,1,85,370176
18458,1988,699,3920,3,5,0,555,427218
19032,2015,1099,2249,3,5,2,841,411417
11407,1962,965,1182,2,1,2,374,340180
6277,1995,735,3453,3,3,0,445,304957
16838,1976,361,2333,2,2,0,377,121356
3991,1966,1893,2867,2,1,1,389,195364
16828,2009,793,625,1,3,0,656,53052
16099,2013,358,776,1,4,3,50,356521
4551,1984,1411,2499,1,5,3,241,248910
17479,2019,259,1727,2,2,0,293,379963
17888,1979,1114,2741,3,5,3,919,425833
2376,2020,1542,1195,1,4,0,562,196692
5642,2012,410,1809,3,3,1,265,80461
16702,1977,605,556,1,4,3,119,332894
8466,2009,863,3874,1,4,3,711,59472
8579,1986,1332,3734,2,5,0,916,381407
9487,1971,1299,518,1,2,3,247,162036
8299,2017,741,3941,1,4,2,69,238674
5965,1969,1537,2811,2,5,1,852,337667
18519,2017,1197,3341,3,2,1,56,211838
14917,2013,1340,612,1,3,3,381,415406
19577,1966,1126,3898,2,3,3,38,116060
9811,1961,1067,1041,1,1,2,983,321223
18714,1971,1927,3194,2,5,2,800,189471
15598,1966,218,1078,3,2,3,442,372870
6677,1959,631,1588,3,4,3,17,405050
15762,2014,1908,3863,2,3,2,951,328676
9808,1971,939,524,2,2,0,731,434833
7449,1999,1573,2072,2,5,2,824,93162
2650,1963,382,2548,3,1,0,755,446965
3431,2013,312,3458,1,3,1,351,323497
10704,1996,1406,2072,3,2,1,971,162313
19548,1978,680,640,2,2,2,815,78477
2581,1985,1369,2267,2,2,0,297,205642
18396,2001,1030,1147,3,5,2,282,136373
14907,1956,1851,2735,2,5,2,585,454653
9305,1978,1336,3699,3,5,0,109,219176
6737,1960,962,700,2,4,2,179,244442
18443,1982,675,3698,1,2,1,937,54551
14275,1955,962,756,1,3,3,543,118359
17744,1981,1526,1046,2,5,3,745,498096
14684,2000,1170,2741,3,5,2,793,193988
4843,2007,1219,3250,1,2,0,24,176150
15000,1975,1341,3675,3,5,0,842,222517
11162,1995,360,3836,2,4,1,790,359780
18464,1978,600,1301,3,4,0,737,341829
16625,1953,397,1441,1,5,0,56,363278
9630,1962,1483,3955,3,2,1,179,401060
3179,1988,859,3831,3,2,2,231,157967
5006,1964,1975,913,2,2,3,893,144455
14784,1978,1270,2514,2,1,1,342,308835
8753,1978,598,1881,2,5,2,476,483209
10935,1981,1933,1598,1,2,1,798,225405
12810,1951,1782,3926,1,4,2,575,289646
14796,1996,277,1409,2,3,1,454,239937
14745,1971,323,687,2,3,2,231,361900
12651,1976,274,2515,1,2,1,288,435007
11957,2016,336,1813,1,3,2,212,111192
3979,2005,801,2592,1,3,1,257,241758
5952,1970,1623,2630,1,1,3,529,360877
7381,1996,1036,1646,2,4,3,686,285161
15569,2008,1728,857,1,4,0,928,338137
4349,1955,699,2051,2,1,2,228,211564
8890,1968,1796,1589,3,1,1,225,202053
13422,2006,337,3483,3,3,2,595,336287
3989,2018,249,2180,1,5,3,802,241349
11323,1952,1994,2922,3,3,2,434,157044
10707,1950,1172,661,3,1,1,881,231062
11040,2007,1842,3951,3,4,2,757,178406
17864,1987,1848,3929,1,3,1,401,119351
6111,1964,453,3759,1,5,3,621,231071
7378,1983,1853,2869,3,3,3,765,284085
17847,2010,909,949,2,2,3,87,283883
2351,1984,762,1997,3,3,0,583,120309
19571,2013,956,1536,1,1,3,892,455662
8333,1974,1649,2731,1,4,2,541,211805
13438,1973,746,2658,1,4,0,683,169156
3927,1961,1525,2450,3,1,3,308,388144
5500,1967,1121,3055,2,2,2,905,491848
6552,1964,780,1813,1,1,2,342,71576
4238,1976,1572,2842,1,3,2,435,53320
6887,2021,248,3451,3,1,1,176,191822
9502,2009,1116,1738,2,1,0,138,153002
7036,1995,1297,1473,3,2,2,193,234535
14979,1966,903,1131,1,3,1,185,76572
5413,2002,460,2090,2,5,3,217,330092
18950,1957,555,1550,2,5,2,163,166528
12136,1976,1805,3280,1,4,1,160,219898
7226,1995,1825,3802,2,1,2,942,139051
4873,1999,1483,2088,2,4,0,524,340011
13661,2020,837,2868,3,2,0,807,241303
3582,1952,942,3460,1,5,3,600,272428
17781,2013,1518,3804,1,1,2,835,307412
16805,1993,1209,2193,1,2,1,41,253305
11317,2002,1130,936,1,2,3,914,356822
12761,1973,840,3328,1,1,2,209,419705
1917,2009,991,2056,2,2,3,740,325107
10308,1952,1536,3974,3,1,1,861,99434
4767,1969,811,1576,1,1,3,274,116617
18709,1995,1008,3884,3,3,3,953,463485
7245,1964,1405,1804,3,4,3,278,167569
12838,1974,885,3273,2,2,2,250,257384
1912,2020,1587,2578,1,2,1,309,409496
9043,1966,387,2884,2,3,0,719,391876
9087,1958,1792,682,1,3,2,832,419792
2228,1987,1766,3594,2,3,0,139,131494
13157,1997,1819,3091,3,5,0,791,269977
7488,2009,1887,1969,1,5,2,545,127225
4467,2012,1184,3645,3,5,2,820,132867
16027,1951,747,3581,3,1,1,903,218600
17548,2021,924,1979,2,2,1,529,305669
19006,1960,1125,2089,1,4,3,56,391116
19455,2013,1631,2087,3,1,0,111,408405
6573,2021,1075,1159,2,2,1,4,140748
6604,1970,817,659,1,2,3,409,304265
3643,1967,613,3585,1,3,1,413,214404
8857,2013,1565,3749,3,3,2,181,436625
13543,1987,1443,2959,1,1,1,12,179529
4940,1981,1102,1511,3,3,0,338,314395
7144,1960,362,552,1,2,1,796,488933
12018,1994,1443,2955,2,3,0,258,411252
16052,1982,469,3394,3,5,2,89,208099
4414,1990,831,1545,3,3,0,615,147382
15084,1957,1105,1553,1,2,1,890,59583
13644,1960,1623,3250,1,1,3,697,100387
15897,2000,1405,2807,3,4,2,249,335248
10287,1990,1841,1728,1,3,1,254,62224
15691,1966,1952,3630,2,2,2,587,372768
2228,1995,404,1994,1,4,2,897,499274
19249,1981,781,3323,2,4,1,970,416464
2198,2003,1779,1989,2,5,1,107,277444
8686,1969,1040,1535,2,4,3,667,472515
16012,1982,1451,2450,2,2,2,593,390716
15423,1989,1919,3861,2,2,2,588,397613
18279,1981,1842,1349,1,3,1,484,390072
8900,1951,795,853,2,3,0,981,316285
5671,1982,449,1598,1,3,1,971,204422
5860,1979,1074,3420,2,4,2,257,383015
4002,1982,1664,2239,3,4,1,638,186149
18601,1975,1756,1964,2,5,3,996,96015
6986,1971,395,1490,3,3,0,902,221929
9835,2015,889,1764,2,1,1,281,282268
5991,1987,1742,3565,2,5,3,985,240912
12630,1995,1293,2384,2,1,2,87,372046
9151,1964,838,3725,3,4,1,203,55577
2667,1993,1622,2309,3,5,2,15,332146
2562,1998,871,3667,2,5,3,150,100711
12674,2010,1983,2841,1,2,2,935,89451
6229,2016,1426,2756,2,4,3,253,230175
10848,1955,1371,3914,3,4,3,187,471863
6834,1958,1695,1611,2,5,3,328,84831
10424,1955,1878,1317,3,4,1,543,299402
5830,2022,1143,2299,3,5,2,782,281376
8301,1981,398,2460,3,2,2,996,408642
6346,1990,1649,2937,2,5,0,396,441093
8231,1957,1889,2872,3,4,0,516,294942
16868,2021,691,3487,3,4,0,458,145119
18837,1999,1095,1388,2,5,0,329,378974
4039,2011,341,2355,3,5,2,819,392776
8556,2011,1536,1680,2,5,3,844,348977
13016,1956,364,1167,3,3,3,168,293466
12993,1953,513,1132,1,4,1,692,273936
3042,1955,220,3124,1,4,3,365,336542
15464,2007,1305,2142,3,3,2,177,111554
19075,1971,1804,636,1,5,2,654,100755
7813,1975,1354,2446,2,2,2,361,460922
19424,1952,1822,2197,1,5,1,759,203412
15307,1990,1953,927,3,5,0,638,377138
11080,2009,1183,1975,3,3,3,774,113884
19249,1963,504,3159,2,4,2,39,396505
10191,1961,570,3458,3,5,2,923,67482
8994,1961,1052,1318,2,4,0,415,104225
5812,1962,583,2688,1,1,2,354,239921
2824,1974,644,1606,1,4,3,254,124854
4641,1994,624,2724,2,2,1,142,91256
3310,1968,360,697,2,2,2,751,290617
8088,2004,1401,3171,3,5,3,739,158721
6801,1994,828,2495,1,4,2,852,131110
16985,1957,1931,3238,2,5,0,709,163606
13214,2002,1094,3992,1,3,2,576,64650
6248,2004,689,2948,2,2,2,899,227190
10935,1981,1216,970,1,5,1,10,78930
5209,2000,526,2765,3,3,0,619,266779
14616,1993,797,2448,1,5,0,25,310102
11076,2019,1214,1428,1,4,1,956,412544
11650,1967,488,2510,1,4,2,420,323945
8030,1971,792,3179,1,4,3,662,101360
11688,1986,1887,3498,1,4,0,220,400052
16183,2005,1796,1405,3,1,0,852,197631
2004,2008,772,2722,2,3,2,495,344478
2714,1952,1577,522,1,3,2,236,286545
3031,1977,227,734,3,4,0,236,63288
2323,1984,1153,3584,1,1,2,218,203470
18812,2010,242,1624,1,4,3,486,257302
6529,2003,1904,1428,2,1,0,935,324335
14928,2012,622,1022,1,4,3,460,330195
18017,1956,1821,2308,3,2,3,662,111715
3605,1998,376,930,3,2,2,634,60737
5127,1980,728,1292,2,5,3,143,115140
14472,2007,1833,2129,1,4,2,989,206323
3352,2010,1165,2236,3,3,1,188,232047
6410,1973,1717,1032,1,5,2,254,317291
12503,1969,397,3526,1,2,3,67,100508
15343,1986,809,2246,1,4,1,615,364368
13204,1953,1800,2175,2,5,2,335,331787
17261,1969,1041,1816,1,4,3,670,351111
7690,2009,1052,3357,3,2,0,820,153535
19140,1973,1740,1412,1,5,0,873,352877
7145,1999,1737,1624,3,2,2,408,346952
11088,1998,221,2025,1,1,2,299,248360
13329,2000,1335,1827,3,2,0,907,108959
9553,1985,1280,3418,3,4,3,601,445065
4830,2015,1289,3087,1,3,3,356,380322
10162,1983,1041,1523,1,2,3,255,248208
8614,1985,297,2076,3,3,2,352,241812
14823,1955,1367,1878,2,1,1,731,162255
2853,1988,634,3874,1,5,1,520,136322
12475,1991,836,2019,2,5,1,523,356709
12523,2007,1902,2181,1,3,1,836,463399
2167,1961,1309,2497,1,5,1,949,51132
10837,1952,787,726,1,2,2,755,219331
15159,1967,543,1759,1,3,2,693,277684
5219,1989,1517,1372,2,4,1,283,375812
8983,1970,770,1391,1,2,2,311,309427
2039,1964,1873,1978,3,2,2,98,481779
6464,1975,810,1536,3,2,1,196,158835
6335,1957,1927,2757,2,4,3,481,192003
7542,1991,442,3288,1,1,2,877,308228
16337,1993,760,896,3,5,3,225,123169
8812,1963,1159,1623,2,3,2,844,310529
6820,1951,231,2578,1,1,2,614,493855
14716,1986,590,3445,3,3,1,617,303608
4279,2018,476,1148,3,5,2,364,284385
18808,1987,731,828,2,4,0,367,239973
3081,1990,1377,3737,1,2,0,569,150417
14177,2011,582,1982,1,2,1,589,51044
7213,2009,1291,1451,3,4,3,74,227763
18139,1963,1083,2505,3,1,3,41,281807
6304,1951,413,2516,3,1,3,421,74363
19722,2019,1878,3671,1,3,0,835,358838
11636,1966,575,3168,2,4,3,180,444798
1509,1977,943,2378,2,1,3,544,333445
6624,2015,412,1696,1,4,1,70,386473
2515,1984,278,2272,2,5,3,567,51620
3693,1954,1949,661,3,2,0,104,374368
9915,2014,827,2251,2,2,0,199,499871
15050,1989,803,1275,2,2,0,100,145419
16012,2005,981,3834,2,4,1,767,218606
5658,1985,1604,2327,3,4,1,306,432194
8470,1994,1200,2821,1,3,2,585,482606
8438,1972,879,3574,3,2,3,682,252701
15272,1996,257,1551,1,3,1,376,368000
19517,1980,1249,2873,1,2,0,654,230324
11844,1960,1080,1439,1,3,0,677,367953
8766,1959,646,3720,2,3,1,398,72259
10202,2016,265,1039,2,5,1,772,70655
1884,1963,1983,3035,1,3,1,220,476221
1904,1959,1477,1321,1,4,2,594,474845
9675,1950,1267,1961,2,3,0,181,466826
16658,1954,1320,1588,3,2,2,306,71602
14263,1969,1777,855,1,3,2,521,398089
19884,1957,1211,3823,3,1,3,395,192182
11360,1992,426,734,2,2,0,3,449289
7489,1950,973,2774,1,1,0,862,412990
16606,2006,878,2048,3,2,1,913,392962
19344,2013,1659,3884,3,4,1,847,453411
5136,1977,800,2596,3,4,3,999,51537
12416,1986,578,617,2,4,2,803,460354
6309,1996,1401,2601,2,1,1,280,487544
14956,1986,1650,2173,3,5,1,214,306210
16944,1998,908,3112,3,2,0,971,227274
7497,1993,506,1567,2,4,0,609,221236
3548,2005,978,2600,3,2,1,419,438689
13838,1977,703,1057,3,1,0,100,139743
18600,1955,467,3673,2,5,3,962,497875
6044,2010,1809,2315,3,1,1,520,136155
6476,1969,207,2505,3,2,0,572,492908
14275,1951,707,3415,3,5,3,308,432342
11515,2022,675,897,2,5,0,657,468061
4919,1986,1520,3709,3,1,0,938,139846
15930,1969,363,1174,2,4,0,930,284507
8739,1975,684,886,2,2,1,509,342706
15989,1978,1820,2658,1,3,2,62,340180
18133,1950,1295,3161,1,3,0,632,241824
11857,1984,766,2564,3,1,3,225,386377
18654,2019,1104,3753,2,2,1,104,133049
5863,2008,758,1383,1,2,1,973,289647
11676,2018,437,1040,3,1,3,771,380825
18961,1982,1327,670,1,2,0,860,339962
9927,2000,1433,2956,1,4,2,424,473760
10080,1961,753,1239,2,1,0,254,374676
6358,1969,1027,1901,2,4,3,428,369849
11540,2002,667,3759,1,2,1,433,70104
16754,1992,1677,3405,1,1,2,206,436480
12970,1999,1491,2777,2,2,1,27,177904
2752,1978,585,618,3,1,3,681,381747
8496,2006,974,3727,2,2,0,335,152499
13673,1988,1047,3331,1,4,2,587,371169
6173,2005,586,3012,3,4,1,627,277336
17281,1992,1076,2651,1,2,1,68,344461
14551,1999,458,3245,3,1,1,865,474632
